Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals
1583,gym_enthusiast,45-54,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,Weight loss,No access to gym,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,No,"Allergy-specific diets, AI workout plan",₹999+,"Personalization, Proven results",Unlikely,Underweight,4,20+,Social events,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself)
1584,gym_enthusiast,25-34,Metro,Student,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,None,Home-cooked,Cravings,Rarely,Somewhat structured,90+ mins,Yes,"Diet planning, Form correction via video",₹999+,"Personalization, All-in-one solution",Neutral,Normal,2,0-5,Don't see results,Not personalized,₹2000+,Looking good (aesthetics),Partial control
1585,older_active,45-54,Tier 1,Homemaker,"50,000-1,00,000",3-4 times/week,Home,General fitness,No proper diet,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,No,"Allergy-specific diets, Travel-friendly plans, Diet planning",₹499-₹999,"All-in-one solution, Expert guidance",Unlikely,Overweight,4,6-10,Busy schedule,Never used any,₹999,Health concerns,Partial control
1586,student_hostel,18-24,Tier 2,Student,"20,000-50,000",3-4 times/week,Home,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,No time to cook,Rarely,Highly unpredictable,30-60 mins,No,"Diet planning, Form correction via video",₹499-₹999,"All-in-one solution, Personalization, Convenience",Very unlikely,Normal,3,0-5,Lack of motivation,Never used any,₹999,Performance/strength,Partial control
1587,busy_traveler,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",1-2 times/week,Gym,Medical/rehabilitation,Lack of time,Eggetarian,None,Mix of both,Don't know what to eat,Occasionally,Highly unpredictable,60-90 mins,Yes,Diet planning,₹999+,"Convenience, Personalization, All-in-one solution",Unlikely,Normal,4,11-20,Busy schedule,Too complicated,₹2000+,Looking good (aesthetics),Partial control
1588,young_professional,25-34,Tier 2,Working Professional,"<20,000",3-4 times/week,Home,Weight loss,Lack of motivation,Eggetarian,None,Home-cooked,Cravings,Rarely,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, Form correction via video",₹199-₹499,Expert guidance,Unlikely,Obese,3,20+,Busy schedule,Never used any,₹499,Social pressure,Full control (cook myself)
1589,young_professional,45-54,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,General fitness,Lack of motivation,Vegetarian,None,Mix of both,Cravings,Occasionally,Somewhat structured,30-60 mins,No,"Form correction via video, AI workout plan",₹499-₹999,"Proven results, Personalization",Unlikely,Normal,4,6-10,Busy schedule,Never used any,₹2000+,Performance/strength,Partial control
1590,busy_traveler,18-24,Metro,Working Professional,"1,00,000-2,00,000",3-4 times/week,Home,Weight loss,Lack of knowledge,Non-vegetarian,None,Order food frequently,No time to cook,Frequently,Somewhat structured,<30 mins,Yes,"AI workout plan, Form correction via video, Calorie tracking via photo",₹999+,Convenience,Unlikely,Overweight,1,11-20,Busy schedule,Too complicated,₹2000+,Mental well-being,Very limited control (hostel/mess)
1591,busy_traveler,25-34,Metro,Working Professional,"2,00,000+",5+ times/week,Home,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Budget constraints,Frequently,Somewhat structured,30-60 mins,No,"Allergy-specific diets, Travel-friendly plans",₹999+,"Proven results, Personalization, Convenience",Unlikely,Normal,4,11-20,Don't see results,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself)
1592,older_active,55+,Tier 1,Retired,"50,000-1,00,000",3-4 times/week,Home,Medical/rehabilitation,No access to gym,Eggetarian,Gluten intolerance,Home-cooked,Budget constraints,Frequently,Somewhat structured,60-90 mins,No,"Diet planning, Calorie tracking via photo",₹499-₹999,"All-in-one solution, Expert guidance, Proven results",Neutral,Overweight,4,11-20,Lack of motivation,Never used any,₹2000+,Health concerns,Full control (cook myself)
1593,student_hostel,18-24,Metro,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of motivation,Vegetarian,,Mix of both,Don't know what to eat,Rarely,Somewhat structured,60-90 mins,No,Diet planning,₹499-₹999,All-in-one solution,Neutral,Obese,4,6-10,Social events,Never used any,₹2000+,Performance/strength,Very limited control (hostel/mess)
1594,student_hostel,18-24,Tier 2,Working Professional,"<20,000",1-2 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,Yes,"Diet planning, Form correction via video",₹199-₹499,"Expert guidance, Personalization",Neutral,Obese,3,11-20,Social events,Lost motivation,₹999,Looking good (aesthetics),Partial control
1595,busy_traveler,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Non-vegetarian,Other,Home-cooked,No time to cook,Frequently,Highly unpredictable,30-60 mins,No,"Form correction via video, Diet planning, Travel-friendly plans",₹999+,"Convenience, Personalization",Very unlikely,Normal,2,0-5,Busy schedule,Never used any,₹2000+,Performance/strength,Partial control
1596,gym_enthusiast,18-24,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of time,Vegetarian,None,Order food frequently,Lack of consistency,Rarely,Somewhat structured,60-90 mins,Yes,"Form correction via video, Calorie tracking via photo, AI workout plan",₹499-₹999,"Proven results, Personalization, Convenience",Very likely,Underweight,5,11-20,Busy schedule,Lost motivation,₹2000+,Performance/strength,Full control (cook myself)
1597,young_professional,35-44,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Mix of both,No time to cook,Rarely,Very structured,<30 mins,No,"Calorie tracking via photo, AI workout plan, Form correction via video",₹499-₹999,"Proven results, All-in-one solution, Convenience",Unlikely,Normal,4,20+,Busy schedule,Never used any,₹999,Mental well-being,Partial control
1598,student_hostel,18-24,Metro,Student,"20,000-50,000",3-4 times/week,Gym,Weight loss,No proper diet,Eggetarian,Nut allergies,Mix of both,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,No,"Form correction via video, Allergy-specific diets, AI workout plan",₹99-₹199,"Expert guidance, Convenience, Proven results",Very unlikely,Underweight,1,20+,Never started properly,Never used any,₹499,Health concerns,Very limited control (hostel/mess)
1599,student_hostel,18-24,Tier 2,Working Professional,"<20,000",1-2 times/week,Home,Muscle gain,No proper diet,Vegetarian,None,Mix of both,Don't know what to eat,Occasionally,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Diet planning, AI workout plan",₹99-₹199,"Proven results, All-in-one solution, Convenience",Neutral,Underweight,4,0-5,Busy schedule,Never used any,₹499,Mental well-being,Very limited control (hostel/mess)
1600,family_health_seeker,55+,Tier 3 / Rural,Working Professional,"20,000-50,000",1-2 times/week,Outdoors,Muscle gain,Lack of time,Eggetarian,None,Hostel/mess food,Lack of consistency,Frequently,Very structured,60-90 mins,Yes,"Allergy-specific diets, Calorie tracking via photo, Travel-friendly plans",₹499-₹999,Personalization,Neutral,Overweight,5,11-20,Lack of motivation,Too expensive,₹999,Health concerns,Full control (cook myself)
1601,student_hostel,18-24,Tier 1,Student,"1,00,000-2,00,000",3-4 times/week,Home,Muscle gain,No access to gym,Non-vegetarian,None,Mix of both,Don't know what to eat,Frequently,Highly unpredictable,30-60 mins,Yes,"Travel-friendly plans, Diet planning",₹999+,"Proven results, Personalization",Neutral,Underweight,3,6-10,Lack of motivation,Too expensive,₹2000+,Mental well-being,Very limited control (hostel/mess)
1602,young_professional,25-34,Tier 2,Working Professional,"20,000-50,000",3-4 times/week,Gym,Weight loss,No access to gym,Eggetarian,None,Mix of both,Lack of consistency,Rarely,Somewhat structured,90+ mins,Yes,"Diet planning, AI workout plan",₹199-₹499,"All-in-one solution, Personalization",Neutral,Normal,4,6-10,Busy schedule,,₹499,Health concerns,Partial control
1603,young_professional,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Order food frequently,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,Yes,"Form correction via video, Travel-friendly plans, AI workout plan",₹499-₹999,"Personalization, Expert guidance",Neutral,Normal,3,20+,Travel,Not personalized,₹2000+,Mental well-being,Full control (cook myself)
1604,young_professional,25-34,Metro,Retired,"20,000-50,000",1-2 times/week,Home,Weight loss,No proper diet,Vegetarian,Lactose intolerance,Home-cooked,Cravings,Occasionally,Very structured,60-90 mins,Yes,Travel-friendly plans,₹199-₹499,"Convenience, Proven results, Expert guidance",Likely,Overweight,4,11-20,Busy schedule,Too expensive,₹999,Performance/strength,Full control (cook myself)
1605,student_hostel,18-24,Tier 1,Student,"20,000-50,000",3-4 times/week,Gym,Not sure,No proper diet,Eggetarian,Other,Mix of both,Cravings,Rarely,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, Travel-friendly plans, AI workout plan",₹199-₹499,"Proven results, All-in-one solution",Likely,Overweight,5,6-10,Don't see results,Too expensive,₹499,Performance/strength,Partial control
1606,gym_enthusiast,25-34,Tier 3 / Rural,Business Owner,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of knowledge,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Very structured,60-90 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,,Neutral,Underweight,4,11-20,Social events,Too expensive,₹999,Looking good (aesthetics),Partial control
1607,student_hostel,18-24,Tier 3 / Rural,Student,"20,000-50,000",1-2 times/week,Home,Not sure,No access to gym,Eggetarian,None,Hostel/mess food,Budget constraints,Occasionally,Highly unpredictable,30-60 mins,No,"Calorie tracking via photo, Diet planning, Travel-friendly plans",₹99-₹199,All-in-one solution,Unlikely,Overweight,3,11-20,Social events,Never used any,₹499,Performance/strength,Very limited control (hostel/mess)
1608,family_health_seeker,45-54,Tier 3 / Rural,Working Professional,"<20,000",1-2 times/week,Home,General fitness,Lack of motivation,Non-vegetarian,None,Home-cooked,No time to cook,Frequently,Highly unpredictable,30-60 mins,Yes,"Travel-friendly plans, Allergy-specific diets, Calorie tracking via photo",₹499-₹999,"Proven results, Convenience, All-in-one solution",Neutral,Normal,4,11-20,Don't see results,Too expensive,₹2000+,Health concerns,Very limited control (hostel/mess)
1609,young_professional,25-34,Tier 1,Working Professional,"2,00,000+",Never,I don't work out,General fitness,No proper diet,Eggetarian,None,Mix of both,Budget constraints,Occasionally,Somewhat structured,60-90 mins,No,"Calorie tracking via photo, Form correction via video",₹499-₹999,Personalization,Neutral,Overweight,4,6-10,Busy schedule,Never used any,₹2000+,Mental well-being,Very limited control (hostel/mess)
1610,gym_enthusiast,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Vegetarian,None,Mix of both,Budget constraints,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, AI workout plan, Form correction via video",₹499-₹999,Personalization,Neutral,Underweight,4,0-5,Don't see results,Too expensive,₹2000+,Mental well-being,Very limited control (hostel/mess)
1611,family_health_seeker,35-44,Tier 2,Homemaker,"1,00,000-2,00,000",5+ times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Hostel/mess food,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,No,Form correction via video,₹999+,Expert guidance,Unlikely,Normal,3,6-10,Social events,Never used any,₹2000+,Health concerns,Partial control
1612,busy_traveler,45-54,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of time,Eggetarian,None,Order food frequently,No time to cook,Frequently,Somewhat structured,<30 mins,No,"Form correction via video, Diet planning, Travel-friendly plans",₹999+,"All-in-one solution, Proven results, Convenience",Neutral,Overweight,4,6-10,Travel,Never used any,₹2000+,Mental well-being,Partial control
1613,gym_enthusiast,25-34,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,90+ mins,No,Form correction via video,₹499-₹999,"Expert guidance, Proven results",Unlikely,Overweight,2,11-20,Busy schedule,Never used any,₹999,Mental well-being,Partial control
1614,young_professional,18-24,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Order food frequently,No time to cook,Rarely,Highly unpredictable,<30 mins,No,"AI workout plan, Travel-friendly plans",₹99-₹199,"All-in-one solution, Personalization",Very unlikely,Normal,1,11-20,Lack of motivation,Never used any,₹199,Health concerns,Full control (cook myself)
1615,young_professional,25-34,Tier 1,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,Other,Hostel/mess food,No time to cook,Frequently,Highly unpredictable,<30 mins,No,"AI workout plan, Travel-friendly plans, Form correction via video",₹499-₹999,"Expert guidance, Convenience",Likely,Obese,4,6-10,Lack of motivation,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself)
1616,busy_traveler,25-34,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,Muscle gain,Lack of time,Vegetarian,None,Order food frequently,Don't know what to eat,Frequently,Somewhat structured,30-60 mins,Yes,"Diet planning, Form correction via video",₹499-₹999,"All-in-one solution, Proven results, Convenience",Neutral,Normal,3,6-10,Travel,Too expensive,₹2000+,Mental well-being,Full control (cook myself)
1617,older_active,55+,Tier 3 / Rural,Retired,"20,000-50,000",5+ times/week,Home,Weight loss,Lack of motivation,Vegetarian,Other,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,<30 mins,No,"Calorie tracking via photo, Form correction via video",₹199-₹499,"Convenience, Expert guidance",Unlikely,Overweight,3,0-5,Don't see results,Never used any,₹499,Looking good (aesthetics),Partial control
1618,busy_traveler,35-44,Tier 2,Working Professional,"50,000-1,00,000",5+ times/week,Home,Weight loss,Lack of time,Vegan,None,Mix of both,No time to cook,Frequently,Highly unpredictable,<30 mins,Yes,"AI workout plan, Form correction via video",₹499-₹999,"Proven results, Personalization, All-in-one solution",Very likely,Normal,5,11-20,Travel,No results,₹2000+,Performance/strength,Full control (cook myself)
1619,gym_enthusiast,25-34,Metro,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,No proper diet,Eggetarian,None,Mix of both,Lack of consistency,Rarely,Very structured,30-60 mins,No,"Calorie tracking via photo, AI workout plan",₹999+,"Convenience, Personalization",Likely,Obese,4,11-20,Busy schedule,Never used any,₹2000+,Mental well-being,Partial control
1620,busy_traveler,25-34,Tier 3 / Rural,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of time,Eggetarian,None,Hostel/mess food,No time to cook,Frequently,Highly unpredictable,30-60 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,"Convenience, All-in-one solution",Neutral,Normal,3,6-10,Travel,Too complicated,₹2000+,Mental well-being,Partial control
1621,young_professional,35-44,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Weight loss,Lack of time,Vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,<30 mins,No,"Form correction via video, Diet planning",₹499-₹999,"All-in-one solution, Convenience",Neutral,Overweight,5,6-10,Travel,Never used any,₹999,Mental well-being,Full control (cook myself)
1622,student_hostel,18-24,Tier 2,Student,"50,000-1,00,000",1-2 times/week,Home,Muscle gain,No proper diet,Eggetarian,None,Mix of both,No time to cook,Occasionally,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Travel-friendly plans",₹499-₹999,"Proven results, Convenience, All-in-one solution",Likely,Normal,3,0-5,Busy schedule,,₹2000+,Mental well-being,Partial control
1623,gym_enthusiast,25-34,Tier 1,Working Professional,"20,000-50,000",5+ times/week,Home,General fitness,Lack of motivation,Eggetarian,None,Home-cooked,Cravings,Rarely,Very structured,90+ mins,No,"Travel-friendly plans, AI workout plan, Calorie tracking via photo",₹499-₹999,"Proven results, Convenience, Personalization",Likely,Obese,3,6-10,Social events,Never used any,₹999,Performance/strength,Very limited control (hostel/mess)
1624,older_active,55+,Tier 3 / Rural,Retired,"<20,000",1-2 times/week,Home,General fitness,Lack of motivation,Eggetarian,None,Home-cooked,Cravings,Frequently,Very structured,<30 mins,Yes,"Allergy-specific diets, Travel-friendly plans, AI workout plan",₹499-₹999,Expert guidance,Likely,Overweight,4,6-10,Don't see results,No results,₹999,Health concerns,Partial control
1625,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",5+ times/week,Gym,General fitness,No proper diet,Vegetarian,None,Mix of both,Budget constraints,Occasionally,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, Form correction via video",₹99-₹199,"Convenience, Proven results",Unlikely,Normal,3,0-5,Lack of motivation,Never used any,₹499,Health concerns,Partial control
1626,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,,Budget constraints,Occasionally,Highly unpredictable,<30 mins,No,"Form correction via video, Travel-friendly plans, Calorie tracking via photo",₹999+,"All-in-one solution, Proven results, Expert guidance",Unlikely,Normal,3,6-10,Social events,Never used any,₹2000+,Mental well-being,Partial control
1627,student_hostel,18-24,Tier 1,Student,"50,000-1,00,000",1-2 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,,Hostel/mess food,Budget constraints,Occasionally,Highly unpredictable,30-60 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,"Expert guidance, All-in-one solution",Neutral,Normal,4,20+,Lack of motivation,Lost motivation,₹2000+,Performance/strength,Partial control
1628,gym_enthusiast,18-24,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of knowledge,Vegetarian,None,Home-cooked,Budget constraints,Occasionally,Very structured,<30 mins,Yes,"Form correction via video, Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"Proven results, Expert guidance",Neutral,Overweight,3,6-10,Lack of motivation,Too complicated,₹2000+,Performance/strength,Partial control
1629,student_hostel,Under 18,Metro,Student,"<20,000",3-4 times/week,Gym,General fitness,Lack of motivation,Vegetarian,None,Order food frequently,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"Diet planning, Form correction via video, Allergy-specific diets",₹199-₹499,,Neutral,Normal,4,0-5,Lack of motivation,Never used any,₹999,Performance/strength,Very limited control (hostel/mess)
1630,young_professional,25-34,Tier 1,Student,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,Nut allergies,Home-cooked,No time to cook,Frequently,Somewhat structured,30-60 mins,No,"Allergy-specific diets, AI workout plan, Calorie tracking via photo",₹999+,"All-in-one solution, Expert guidance, Proven results",Unlikely,Normal,3,20+,Busy schedule,Never used any,₹2000+,Performance/strength,Full control (cook myself)
1631,busy_traveler,18-24,Tier 3 / Rural,Working Professional,"1,00,000-2,00,000",3-4 times/week,Outdoors,Muscle gain,Lack of time,Eggetarian,None,Home-cooked,No time to cook,Occasionally,Highly unpredictable,<30 mins,No,"AI workout plan, Travel-friendly plans, Form correction via video",₹999+,"Proven results, Convenience",Neutral,Normal,3,11-20,Don't see results,Never used any,₹2000+,Health concerns,Partial control
1632,young_professional,25-34,Metro,Retired,"20,000-50,000",1-2 times/week,Home,Not sure,No access to gym,Non-vegetarian,None,Order food frequently,Lack of consistency,Rarely,Highly unpredictable,<30 mins,No,"Travel-friendly plans, AI workout plan, Form correction via video",₹199-₹499,"Expert guidance, Proven results",Neutral,Normal,4,6-10,Busy schedule,Never used any,₹999,Looking good (aesthetics),Full control (cook myself)
1633,busy_traveler,45-54,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,No proper diet,Vegetarian,,Order food frequently,Lack of consistency,Frequently,Highly unpredictable,<30 mins,Yes,Travel-friendly plans,₹999+,"Personalization, Expert guidance, Convenience",Very likely,Overweight,5,0-5,Busy schedule,Not personalized,₹2000+,Performance/strength,Very limited control (hostel/mess)
1634,family_health_seeker,45-54,Tier 2,Retired,"50,000-1,00,000",1-2 times/week,Home,General fitness,Lack of time,Vegetarian,Nut allergies,Home-cooked,Lack of consistency,Rarely,Very structured,30-60 mins,No,"Allergy-specific diets, Form correction via video",₹499-₹999,"Proven results, Expert guidance",Neutral,Normal,5,6-10,Busy schedule,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself)
1635,older_active,55+,Tier 1,Retired,"20,000-50,000",1-2 times/week,Home,Weight loss,No proper diet,Vegetarian,None,Home-cooked,Cravings,Occasionally,Somewhat structured,<30 mins,No,AI workout plan,₹199-₹499,"Convenience, Personalization, Expert guidance",Unlikely,Obese,3,6-10,Lack of motivation,Never used any,₹999,Mental well-being,Full control (cook myself)
1636,young_professional,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Vegetarian,Gluten intolerance,Order food frequently,Cravings,Occasionally,Highly unpredictable,60-90 mins,Yes,"Calorie tracking via photo, Allergy-specific diets",₹999+,"Convenience, Personalization, Proven results",Neutral,Overweight,3,20+,Lack of motivation,Too complicated,₹2000+,Mental well-being,Full control (cook myself)
1637,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of knowledge,Vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,<30 mins,Yes,"Diet planning, Calorie tracking via photo, Form correction via video",₹499-₹999,"Proven results, Expert guidance, All-in-one solution",Neutral,Normal,3,20+,Busy schedule,Not personalized,₹999,Looking good (aesthetics),Very limited control (hostel/mess)
1638,student_hostel,18-24,Tier 2,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Hostel/mess food,No time to cook,Rarely,Highly unpredictable,60-90 mins,No,"Travel-friendly plans, Diet planning",₹499-₹999,"Expert guidance, Proven results, Personalization",Likely,Underweight,5,6-10,Don't see results,Never used any,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
1639,older_active,35-44,Tier 2,Retired,"50,000-1,00,000",1-2 times/week,Home,Weight loss,Lack of motivation,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Very structured,60-90 mins,No,"Form correction via video, AI workout plan, Allergy-specific diets",₹499-₹999,Proven results,Unlikely,Overweight,3,0-5,Busy schedule,Never used any,₹999,Mental well-being,Full control (cook myself)
1640,older_active,55+,Tier 2,Retired,"2,00,000+",1-2 times/week,Home,General fitness,Lack of motivation,Non-vegetarian,Gluten intolerance,Home-cooked,Don't know what to eat,Rarely,Very structured,<30 mins,No,Allergy-specific diets,₹499-₹999,All-in-one solution,Unlikely,Normal,4,20+,Busy schedule,Never used any,₹2000+,Health concerns,Partial control
1641,gym_enthusiast,25-34,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,No proper diet,Vegan,None,Home-cooked,Cravings,Occasionally,Very structured,90+ mins,No,"Calorie tracking via photo, AI workout plan, Diet planning",₹999+,"Proven results, Personalization",Likely,Underweight,5,20+,Busy schedule,Never used any,₹2000+,Performance/strength,Very limited control (hostel/mess)
1642,family_health_seeker,45-54,Metro,Retired,"20,000-50,000",1-2 times/week,Home,Weight loss,Lack of knowledge,Vegetarian,Lactose intolerance,Hostel/mess food,Lack of consistency,Rarely,Very structured,<30 mins,No,"Diet planning, Allergy-specific diets",₹499-₹999,"Personalization, Proven results, Expert guidance",Unlikely,Overweight,5,11-20,Never started properly,Never used any,₹999,Health concerns,Full control (cook myself)
1643,gym_enthusiast,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Mix of both,Budget constraints,Rarely,Very structured,90+ mins,No,"Form correction via video, Travel-friendly plans, Calorie tracking via photo",₹199-₹499,"Convenience, All-in-one solution",Neutral,Underweight,4,0-5,Busy schedule,Never used any,₹999,Performance/strength,Partial control
1644,gym_enthusiast,25-34,Tier 1,Working Professional,"<20,000",1-2 times/week,Gym,General fitness,Lack of motivation,Non-vegetarian,None,,Don't know what to eat,Rarely,Somewhat structured,60-90 mins,No,"Form correction via video, Diet planning, AI workout plan",₹199-₹499,Convenience,Likely,Underweight,5,0-5,Travel,Never used any,₹999,Looking good (aesthetics),Very limited control (hostel/mess)
1645,student_hostel,25-34,Tier 2,Student,"<20,000",1-2 times/week,Home,General fitness,No proper diet,Non-vegetarian,Lactose intolerance,Order food frequently,No time to cook,Rarely,Very structured,30-60 mins,No,"Allergy-specific diets, Calorie tracking via photo, Diet planning",₹99-₹199,"Convenience, All-in-one solution",Unlikely,Normal,1,20+,Busy schedule,Never used any,₹499,Mental well-being,Full control (cook myself)
1646,busy_traveler,55+,Tier 1,Working Professional,"1,00,000-2,00,000",5+ times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Mix of both,Don't know what to eat,Frequently,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Allergy-specific diets",₹999+,"Convenience, All-in-one solution",Likely,Normal,3,20+,Busy schedule,No results,₹2000+,Mental well-being,Partial control
1647,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",1-2 times/week,Home,Not sure,No access to gym,Vegetarian,Gluten intolerance,Hostel/mess food,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,No,"Diet planning, Form correction via video",₹199-₹499,"All-in-one solution, Proven results, Personalization",Neutral,Underweight,4,11-20,Travel,Never used any,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
1648,family_health_seeker,45-54,Tier 1,Retired,"<20,000",3-4 times/week,Gym,Medical/rehabilitation,No access to gym,Non-vegetarian,Gluten intolerance,Home-cooked,No time to cook,Rarely,Very structured,30-60 mins,No,"Allergy-specific diets, AI workout plan",₹199-₹499,"Expert guidance, Convenience, Proven results",Unlikely,Normal,2,0-5,Busy schedule,Never used any,₹499,Health concerns,Full control (cook myself)
1649,family_health_seeker,35-44,Tier 2,Retired,"50,000-1,00,000",1-2 times/week,Outdoors,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Cravings,Frequently,Very structured,<30 mins,Yes,"AI workout plan, Calorie tracking via photo",₹499-₹999,"All-in-one solution, Proven results, Convenience",Likely,Overweight,3,11-20,Travel,Too expensive,₹2000+,Health concerns,Full control (cook myself)
1650,busy_traveler,18-24,Tier 2,Working Professional,"1,00,000-2,00,000",Never,I don't work out,Not sure,Lack of time,Eggetarian,None,Mix of both,Lack of consistency,Frequently,Very structured,30-60 mins,No,"Travel-friendly plans, Form correction via video",₹499-₹999,"Proven results, All-in-one solution, Convenience",Neutral,Overweight,4,6-10,Busy schedule,Never used any,₹2000+,Mental well-being,Very limited control (hostel/mess)
1651,student_hostel,18-24,Metro,Student,"<20,000",1-2 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,No,"Form correction via video, Calorie tracking via photo, Diet planning",₹199-₹499,"Proven results, All-in-one solution, Personalization",Neutral,Normal,3,0-5,Busy schedule,Never used any,₹999,Looking good (aesthetics),Very limited control (hostel/mess)
